"Pass","Status","RSIPeriod","RSIBuyBelow","RSISellAbove","ADXPeriod","ADXThreshold","NetProfit","ProfitFactor","RecoveryFactor","EquityDD","Trades","HistoryQuality"
"85","OK","7","10","80","14","30","-3 562.43","0.86","-0.44","7.85% (8 095.79)","1553","100% real ticks"
"86","OK","7","10","80","14","40","-2 041.36","0.98","-0.20","9.95% (10 168.99)","4541","100% real ticks"
"87","OK","7","10","80","14","50","-812.16","0.99","-0.06","13.29% (13 897.90)","6805","100% real ticks"
"88","OK","7","10","80","18","30","-70.72","1.00","-0.01","6.98% (7 172.39)","3483","100% real ticks"
"89","OK","7","10","80","18","40","-3 103.49","0.98","-0.25","12.10% (12 552.58)","6351","100% real ticks"
"90","OK","7","10","80","18","50","-3 722.64","0.98","-0.24","14.11% (15 263.58)","7140","100% real ticks"
"91","OK","7","10","85","10","30","2 069.32","3.88","2.03","1.01% (1 018.55)","104","100% real ticks"
"92","OK","7","10","85","10","40","244.49","1.02","0.08","3.01% (3 045.61)","598","100% real ticks"
"93","OK","7","10","85","10","50","2 054.34","1.07","0.38","5.26% (5 365.39)","1588","100% real ticks"
"94","OK","7","10","85","14","30","-3 283.35","0.71","-0.60","5.44% (5 471.74)","496","100% real ticks"
"95","OK","7","10","85","14","40","1 686.06","1.05","0.32","5.10% (5 195.37)","1764","100% real ticks"
"96","OK","7","10","85","14","50","-10 290.21","0.87","-0.70","14.26% (14 743.51)","3470","100% real ticks"
"97","OK","7","10","85","18","30","-638.58","0.97","-0.16","4.01% (4 032.51)","1315","100% real ticks"
"98","OK","7","10","85","18","40","-1 812.92","0.97","-0.16","10.64% (11 332.03)","3204","100% real ticks"
"99","OK","7","10","85","18","50","196.21","1.00","0.01","13.30% (14 289.49)","4678","100% real ticks"
"100","OK","7","10","90","10","30","115.15","1.29","0.48","0.24% (238.18)","31","100% real ticks"
"101","OK","7","10","90","10","40","-668.61","0.85","-0.36","1.83% (1 844.27)","210","100% real ticks"
"102","OK","7","10","90","10","50","312.11","1.03","0.08","3.73% (3 752.94)","587","100% real ticks"
"103","OK","7","10","90","14","30","-2 583.33","0.47","-0.76","3.36% (3 386.27)","148","100% real ticks"
"104","OK","7","10","90","14","40","340.74","1.03","0.09","3.77% (3 800.58)","656","100% real ticks"
"105","OK","7","10","90","14","50","-2 343.75","0.93","-0.36","6.45% (6 530.40)","1530","100% real ticks"
"106","OK","7","10","90","18","30","-1 173.18","0.89","-0.31","3.71% (3 734.81)","480","100% real ticks"
"107","OK","7","10","90","18","40","-2 127.59","0.94","-0.31","6.68% (6 787.12)","1417","100% real ticks"
"108","OK","7","10","90","18","50","2 529.84","1.04","0.49","5.01% (5 112.93)","2553","100% real ticks"
"109","OK","7","15","80","10","30","1 124.44","1.24","0.79","1.40% (1 419.54)","428","100% real ticks"
"110","OK","7","15","80","10","40","351.23","1.01","0.07","4.88% (5 016.69)","2206","100% real ticks"
"111","OK","7","15","80","10","50","-13 348.93","0.87","-0.82","15.88% (16 213.08)","5244","100% real ticks"
"112","OK","7","15","80","14","30","-5 861.14","0.83","-0.58","9.75% (10 027.36)","1911","100% real ticks"
"113","OK","7","15","80","14","40","-487.93","1.00","-0.05","10.21% (10 495.05)","5706","100% real ticks"
"114","OK","7","15","80","14","50","-5 206.91","0.97","-0.38","12.95% (13 774.58)","8114","100% real ticks"
"115","OK","7","15","80","18","30","3 400.75","1.04","0.55","6.00% (6 179.15)","4366","100% real ticks"
"116","OK","7","15","80","18","40","-5 793.29","0.97","-0.32","16.83% (17 909.59)","7636","100% real ticks"
"117","OK","7","15","80","18","50","-9 502.36","0.95","-0.52","16.90% (18 115.87)","7890","100% real ticks"
"118","OK","7","15","85","10","30","2 359.99","2.26","2.32","1.01% (1 018.55)","187","100% real ticks"
"119","OK","7","15","85","10","40","99.25","1.01","0.02","4.80% (4 857.95)","1016","100% real ticks"
"120","OK","7","15","85","10","50","1 286.04","1.02","0.22","5.66% (5 826.86)","2950","100% real ticks"
"121","OK","7","15","85","14","30","-6 949.02","0.67","-0.81","8.49% (8 546.62)","885","100% real ticks"
"122","OK","7","15","85","14","40","4 510.47","1.07","0.65","6.59% (6 962.81)","3214","100% real ticks"
"123","OK","7","15","85","14","50","-15 949.22","0.88","-0.70","22.03% (22 698.06)","5534","100% real ticks"
"124","OK","7","15","85","18","30","939.09","1.02","0.13","6.82% (7 089.08)","2368","100% real ticks"
"125","OK","7","15","85","18","40","-4 402.05","0.96","-0.26","15.85% (16 997.09)","5133","100% real ticks"
"126","OK","7","15","85","18","50","-1 333.16","0.99","-0.11","11.84% (12 532.26)","6329","100% real ticks"
"127","OK","7","15","90","10","30","405.82","1.26","0.50","0.81% (812.97)","114","100% real ticks"
"128","OK","7","15","90","10","40","-319.67","0.97","-0.07","4.25% (4 303.69)","637","100% real ticks"
"129","OK","7","15","90","10","50","-141.67","1.00","-0.03","4.08% (4 097.78)","2036","100% real ticks"
"130","OK","7","15","90","14","30","-5 757.01","0.60","-0.87","6.55% (6 595.21)","547","100% real ticks"
"131","OK","7","15","90","14","40","2 274.97","1.05","0.42","5.23% (5 380.31)","2231","100% real ticks"
"132","OK","7","15","90","14","50","-8 942.33","0.91","-0.58","15.35% (15 361.18)","4007","100% real ticks"
"133","OK","7","15","90","18","30","-974.09","0.97","-0.18","5.34% (5 428.86)","1598","100% real ticks"
"134","OK","7","15","90","18","40","-445.95","0.99","-0.05","8.30% (8 514.51)","3750","100% real ticks"
"135","OK","7","15","90","18","50","-9 801.93","0.92","-0.66","14.86% (14 876.75)","4924","100% real ticks"
"136","OK","7","20","80","10","30","1 630.90","1.16","0.67","2.38% (2 446.01)","777","100% real ticks"
"137","OK","7","20","80","10","40","-125.13","1.00","-0.02","6.52% (6 858.89)","3817","100% real ticks"
"138","OK","7","20","80","10","50","-138.07","1.00","-0.01","11.11% (11 924.50)","7881","100% real ticks"
"139","OK","7","20","80","14","30","-2 213.59","0.96","-0.26","7.97% (8 416.69)","3184","100% real ticks"
"140","OK","7","20","80","14","40","7 464.73","1.05","0.70","9.90% (10 690.36)","8317","100% real ticks"
"141","OK","7","20","80","14","50","-16 793.33","0.93","-0.71","22.79% (23 771.70)","10412","100% real ticks"
"142","OK","7","20","80","18","30","10 353.34","1.09","1.26","7.41% (8 222.25)","6534","100% real ticks"
"143","OK","7","20","80","18","40","-13 849.75","0.94","-0.48","27.55% (28 894.29)","10076","100% real ticks"
"144","OK","7","20","80","18","50","-12 278.10","0.94","-0.51","22.45% (23 984.37)","8932","100% real ticks"
"145","OK","7","20","85","10","30","2 673.45","1.37","1.25","2.09% (2 131.91)","541","100% real ticks"
"146","OK","7","20","85","10","40","-917.84","0.98","-0.16","5.73% (5 794.78)","2691","100% real ticks"
"147","OK","7","20","85","10","50","958.89","1.01","0.08","11.09% (11 668.95)","6112","100% real ticks"
"148","OK","7","20","85","14","30","-4 273.60","0.90","-0.80","5.33% (5 355.53)","2232","100% real ticks"
"149","OK","7","20","85","14","40","12 289.36","1.10","1.38","7.81% (8 909.05)","6402","100% real ticks"
"150","OK","7","20","85","14","50","-17 618.95","0.91","-0.69","24.51% (25 393.28)","8708","100% real ticks"
"151","OK","7","20","85","18","30","6 849.37","1.08","0.89","6.97% (7 679.30)","4936","100% real ticks"
"152","OK","7","20","85","18","40","-12 307.41","0.94","-0.45","25.94% (27 408.76)","8351","100% real ticks"
"153","OK","7","20","85","18","50","-14 051.56","0.93","-0.67","20.63% (21 065.40)","8115","100% real ticks"
"154","OK","7","20","90","10","30","719.28","1.10","0.30","2.38% (2 427.23)","468","100% real ticks"
"155","OK","7","20","90","10","40","-1 770.62","0.96","-0.25","6.70% (7 000.24)","2326","100% real ticks"
"156","OK","7","20","90","10","50","721.77","1.01","0.07","9.94% (10 261.10)","5344","100% real ticks"
"157","OK","7","20","90","14","30","-3 499.84","0.90","-0.62","5.58% (5 667.17)","1906","100% real ticks"
"158","OK","7","20","90","14","40","3 775.36","1.03","0.36","9.74% (10 547.06)","5630","100% real ticks"
"159","OK","7","20","90","14","50","-11 910.44","0.93","-0.63","18.68% (18 884.73)","7631","100% real ticks"
"160","OK","7","20","90","18","30","2 325.64","1.03","0.29","7.53% (8 110.01)","4266","100% real ticks"
"161","OK","7","20","90","18","40","-10 137.41","0.94","-0.48","20.48% (20 972.28)","7369","100% real ticks"
"162","OK","7","20","90","18","50","-12 299.01","0.93","-0.78","15.80% (15 808.87)","7208","100% real ticks"
"163","OK","9","10","80","10","30","1 272.07","1.71","1.09","1.15% (1 165.99)","154","100% real ticks"
"164","OK","9","10","80","10","40","2 349.30","1.19","0.90","2.54% (2 606.32)","748","100% real ticks"
"165","OK","9","10","80","10","50","-3 146.34","0.91","-0.46","6.71% (6 910.97)","1733","100% real ticks"
"166","OK","9","10","80","14","30","-1 206.77","0.90","-0.35","3.42% (3 454.42)","608","100% real ticks"
"167","OK","9","10","80","14","40","358.69","1.01","0.06","6.04% (6 388.47)","1902","100% real ticks"
"168","OK","9","10","80","14","50","-13 118.91","0.85","-0.66","18.74% (19 736.24)","3625","100% real ticks"
"169","OK","9","10","80","18","30","92.52","1.00","0.02","3.99% (4 131.71)","1354","100% real ticks"
"170","OK","9","10","80","18","40","-3 269.02","0.95","-0.27","11.14% (11 920.43)","3299","100% real ticks"
"171","OK","9","10","80","18","50","5 179.44","1.05","0.58","8.37% (8 945.60)","4738","100% real ticks"
"172","OK","9","10","85","10","30","140.69","1.38","0.53","0.27% (266.11)","30","100% real ticks"
"173","OK","9","10","85","10","40","-1 868.34","0.50","-0.67","2.78% (2 795.72)","140","100% real ticks"
"174","OK","9","10","85","10","50","5 876.45","1.85","2.68","2.13% (2 195.84)","506","100% real ticks"
"175","OK","9","10","85","14","30","-1 345.35","0.63","-0.49","2.72% (2 738.93)","132","100% real ticks"
"176","OK","9","10","85","14","40","3 933.32","1.48","1.69","2.28% (2 332.52)","541","100% real ticks"
"177","OK","9","10","85","14","50","1 399.61","1.05","0.34","4.00% (4 102.44)","1301","100% real ticks"
"178","OK","9","10","85","18","30","2 759.05","1.46","1.27","2.12% (2 165.07)","389","100% real ticks"
"179","OK","9","10","85","18","40","2 843.24","1.13","0.70","3.96% (4 085.59)","1114","100% real ticks"
"180","OK","9","10","85","18","50","12 479.17","1.29","3.02","3.86% (4 130.68)","2115","100% real ticks"
"181","OK","9","10","90","10","30","20.80","1.06","0.09","0.24% (236.32)","19","100% real ticks"
"182","OK","9","10","90","10","40","-429.10","0.76","-0.33","1.29% (1 299.16)","71","100% real ticks"
"183","OK","9","10","90","10","50","1 128.79","1.41","1.00","1.12% (1 130.06)","164","100% real ticks"
"184","OK","9","10","90","14","30","-456.55","0.75","-0.35","1.29% (1 299.16)","68","100% real ticks"
"185","OK","9","10","90","14","40","-84.55","0.98","-0.04","2.18% (2 192.47)","202","100% real ticks"
"186","OK","9","10","90","14","50","-557.76","0.95","-0.15","3.70% (3 762.53)","466","100% real ticks"
"187","OK","9","10","90","18","30","-324.00","0.91","-0.15","2.18% (2 189.15)","150","100% real ticks"
"188","OK","9","10","90","18","40","969.27","1.11","0.26","3.70% (3 760.35)","403","100% real ticks"
"189","OK","9","10","90","18","50","4 682.80","1.31","1.05","4.28% (4 465.59)","765","100% real ticks"
"190","OK","9","15","80","10","30","2 282.13","2.16","1.93","1.16% (1 181.26)","194","100% real ticks"
"191","OK","9","15","80","10","40","4 054.45","1.29","1.78","2.19% (2 272.93)","898","100% real ticks"
"192","OK","9","15","80","10","50","-5 709.58","0.87","-0.60","9.24% (9 461.55)","2155","100% real ticks"
"193","OK","9","15","80","14","30","-2 017.87","0.86","-0.59","3.38% (3 413.45)","710","100% real ticks"
"194","OK","9","15","80","14","40","-1 301.68","0.97","-0.17","7.45% (7 844.89)","2350","100% real ticks"
"195","OK","9","15","80","14","50","-13 692.60","0.87","-0.72","18.21% (18 926.97)","4547","100% real ticks"
"196","OK","9","15","80","18","30","-1 876.58","0.94","-0.27","6.67% (6 931.56)","1664","100% real ticks"
"197","OK","9","15","80","18","40","-8 593.52","0.91","-0.48","16.80% (17 991.33)","4098","100% real ticks"
"198","OK","9","15","80","18","50","-2 891.47","0.98","-0.21","13.29% (14 094.25)","5645","100% real ticks"
"199","OK","9","15","85","10","30","1 150.75","3.17","1.42","0.81% (812.66)","70","100% real ticks"
"200","OK","9","15","85","10","40","-163.19","0.97","-0.07","2.24% (2 270.10)","290","100% real ticks"
"201","OK","9","15","85","10","50","4 357.32","1.27","1.26","3.35% (3 469.50)","957","100% real ticks"
"202","OK","9","15","85","14","30","-2 156.45","0.68","-0.55","3.89% (3 950.66)","234","100% real ticks"
"203","OK","9","15","85","14","40","2 884.43","1.16","0.76","3.71% (3 813.15)","1016","100% real ticks"
"204","OK","9","15","85","14","50","63.02","1.00","0.01","6.49% (6 692.38)","2358","100% real ticks"
"205","OK","9","15","85","18","30","2 150.72","1.16","0.58","3.58% (3 690.28)","716","100% real ticks"
"206","OK","9","15","85","18","40","-261.72","0.99","-0.04","6.68% (6 905.37)","2052","100% real ticks"
"207","OK","9","15","85","18","50","3 055.32","1.04","0.35","7.98% (8 643.59)","3345","100% real ticks"
"208","OK","9","15","90","10","30","1 030.86","3.10","1.27","0.81% (812.66)","59","100% real ticks"
"209","OK","9","15","90","10","40","1 276.05","1.33","1.05","1.20% (1 220.47)","221","100% real ticks"
"210","OK","9","15","90","10","50","158.41","1.01","0.05","3.10% (3 129.54)","628","100% real ticks"
"211","OK","9","15","90","14","30","-1 267.65","0.74","-0.39","3.19% (3 252.45)","170","100% real ticks"
"212","OK","9","15","90","14","40","-624.77","0.96","-0.13","4.66% (4 708.70)","698","100% real ticks"
"213","OK","9","15","90","14","50","-318.19","0.99","-0.05","5.95% (6 105.81)","1579","100% real ticks"
"214","OK","9","15","90","18","30","-950.29","0.91","-0.23","4.08% (4 138.71)","480","100% real ticks"
"215","OK","9","15","90","18","40","-805.98","0.97","-0.11","7.44% (7 616.83)","1398","100% real ticks"
"216","OK","9","15","90","18","50","-2 651.03","0.95","-0.23","11.00% (11 447.29)","2344","100% real ticks"
"217","OK","9","20","80","10","30","1 507.29","1.36","1.02","1.48% (1 482.54)","296","100% real ticks"
"218","OK","9","20","80","10","40","3 747.18","1.14","1.14","3.26% (3 287.90)","1520","100% real ticks"
